NameID,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness

10168,VOIP/VSP,Telecommunications,0,0,3,197123.89,197123.89,Y
10301,Media,Media & Content,0,0,70,  $-   ,1092843.01,Y
10329,Real Estate / Construction,Other Enterprise,0.157143,0.322514,70,15635647.41,20678366.92,N
10492,Cloud Service Provider,Data Center & Cloud Services,0,0.073722,55,6439380.37,6914105.95,Y
10565,Higher Education,Research & Education,0,-0.073995,455,  $-   ,124190798,N
10599,Manufacturing,Energy & Manufacturing,0,0.397113,57,10907521.86,15239044.66,Y
11179,Retail,Other Enterprise,0,0,0,  $-   ,273104.63,Y
11243,Consulting / Other Professional Services,Professional Services,0,0,9,801637.15,801637.15,Y
11410,Finance,Finance,0,0,2,102504.42,102504.42,Y
11573,Non-Healthcare Insurance,Other Enterprise,0,0,44,9199114.82,9199114.82,Y
11850,Oil & Gas,Energy & Manufacturing,0,0,50,  $-   ,38979817.93,N
11919,Legal,Professional Services,0,0.401205,12,1708407.04,2393827.83,N
12029,Consulting / Other Professional Services,Professional Services,0,0,0,  $-   ,265942.47,N
12268,Internet Content & Software,Media & Content,0,0,14,2234070.74,2234070.74,Y
12283,Consulting / Other Professional Services,Professional Services,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12348,Consulting / Other Professional Services,Professional Services,0,0.694458,52,7227875.93,12247329.56,Y
12427,Manufacturing,Energy & Manufacturing,0,0,0,  $-   ,  $-   ,N
12451,Internet Content & Software,Media & Content,0,0,4,381106.19,381106.19,Y
12620,Systems Integrators,Government,5.25,7.52236,8,1169601.74,9967766.57,N
12813,Consulting / Other Professional Services,Professional Services,0,0.015873,4,827920.33,841061.93,Y
12870,Internet Content & Software,Media & Content,0,0,0,  $-   ,  $-   ,0
13149,Manufacturing,Energy & Manufacturing,0,0.030303,4,433672.56,446814.15,Y
13226,Consulting / Other Professional Services,Professional Services,0,0,17,1708407.04,1708407.04,Y
13512,Internet Content & Software,Media & Content,0,-0.083333,1,157699.11,144557.52,Y
13527,Higher Education,Research & Education,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13587,Utilities,Energy & Manufacturing,0,0,3,210265.48,210265.48,N
13665,Finance,Finance,0,0,55,3942477.78,3942477.78,Y
13895,Real Estate / Construction,Other Enterprise,0,0,0,  $-   ,  $-   ,N
13961,Regional Carrier/ISP,Telecommunications,0,0.016667,6,788495.56,801637.15,Y
13971,RLEC,Telecommunications,0,0,7,274389.88,274389.88,N
14113,Internet Content & Software,Media & Content,0,0,0,  $-   ,4634807.1,N
14172,Regional Carrier/ISP,Telecommunications,0,0,2,249690.26,249690.26,Y
14181,Non-Healthcare Insurance,Other Enterprise,0,0.630487,3,407389.37,664243.11,N
14259,Federal Government,Government,0,0.164976,469,106858733.9,124487807.2,N
14288,Oil & Gas,Energy & Manufacturing,0,1.676839,700,112360616.7,300771288.2,N
14410,Colo/Hosting,Data Center & Cloud Services,0,-0.101873,20,3416814.08,3068731.4,N
14458,Healthcare,Healthcare,0,0.499768,65,7490707.78,11234326.98,Y
14693,Higher Education,Research & Education,0,-0.01525,2000,  $-   ,412417343.9,N
14709,National Carrier/ISP,Telecommunications,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14895,Commercial Systems Integrator,Professional Services,0,-0.2,12,1971238.89,1576991.11,Y
15054,Media,Media & Content,0,0,6,1576991.11,1576991.11,Y
15089,Consulting / Other Professional Services,Professional Services,0,0.860887,180,52566370.4,97820096.34,Y
15191,Colo/Hosting,Data Center & Cloud Services,0,0,0,  $-   ,  $-   ,N
15307,Hospitality,Other Enterprise,0,2.501643,2100,168475217.1,589940142.8,N
15519,Utilities,Energy & Manufacturing,0,1.348301,775,106184068.2,249352135.4,N
15581,Consulting / Other Professional Services,Professional Services,0,0.541957,25,4599557.41,7092319.09,Y
15627,Internet Content & Software,Media & Content,0,0.023529,1,111703.54,114331.86,Y
15629,Cloud Service Provider,Data Center & Cloud Services,0,3.075201,28,6570796.3,26777318.28,Y
15718,Engineering,Professional Services,0,0,803,433245117.6,433245117.6,N
16084,K-12 Education,Research & Education,0,0,0,  $-   ,  $-   ,N
16447,State/Local Government,Government,0,0,0,  $-   ,  $-   ,N
16451,Health Insurance,Healthcare,0,0.159358,150,26151769.27,30319250.83,N
16462,Consulting / Other Professional Services,Professional Services,0,1.431462,30,6439380.37,15657106.32,Y
16486,Internet Content & Software,Media & Content,0,2.215709,30,4599557.41,14790837.5,Y
16872,Higher Education,Research & Education,0,0,3000,  $-   ,388501656.1,N
17098,Internet Content & Software,Media & Content,0,0,1,72278.76,72278.76,Y
17124,Cloud Service Provider,Data Center & Cloud Services,0,0.066667,3,197123.89,210265.48,Y
17452,Colo/Hosting,Data Center & Cloud Services,0,0,2,525663.7,525663.7,Y
17539,Consulting / Other Professional Services,Professional Services,0,0.103809,32,3416814.08,3771509.6,N
17695,Cloud Service Provider,Data Center & Cloud Services,0,2.488372,11,1130176.96,3942477.78,Y
17803,Retail,Other Enterprise,0,0.055556,2,118274.33,124845.13,Y
18095,Colo/Hosting,Data Center & Cloud Services,0,0,0,  $-   ,  $-   ,N
18149,State/Local Government,Government,0,0,630,  $-   ,  $-   ,N
18228,Regional Carrier/ISP,Telecommunications,0,4.88929,13,1301017.67,7662070.21,Y
18283,Finance,Finance,4.833333,9.526782,6,657079.63,6916934.02,Y
