Name/ID,Vertical,Industry,Total BRR Currency, Total BRR ,Service Name,Number of Services,Bandwidth,,State A,State Z,Service Status,Term, Total MRR ,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees, PriorYearRevenue , SalesVolume ,SmallBusiness
10015,Internet Content & Software,Media & Content,USD," $ 1,020.00 ",275926,1,100Mb,DIA,MD,,Pending Change,12," $ 1,102.83 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10034,Consulting / Other Professional Services,Professional Services,USD," $ 2,116.00 ",286958,3,FE (Cat5),Interconnect,CA,CA,Active,24, $ 50.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10168,VOIP/VSP,Telecommunications,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,VOIP/VSP,Telecommunications,0,0,3," $ 197,123.89 "," $ 197,123.89 ",Y
10255,Internet Content & Software,Media & Content,USD," $ 1,266.00 ",214253,4,N/A,Colocation,NV,,Active,12," $ 1,178.91 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10263,Internet Content & Software,Media & Content,USD, $ 301.00 ,237031,1,3Mb,DIA,MD,,Active,36, $ 300.75 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10301,Media,Media & Content,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Media,Media & Content,0,0,70, $ -   ," $ 1,092,843.01 ",Y
10316,Consulting / Other Professional Services,Professional Services,USD, $ 605.00 ,256009,3,,Colocation,TX,TX,Active,12, $ 499.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10329,Real Estate / Construction,Other Enterprise,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Real Estate / Construction,Other Enterprise,0.157143,0.322514,70," $ 15,635,647.41 "," $ 20,678,366.92 ",N
10376,Media,Media & Content,USD, $ 50.00 ,272104,2,N/A,Colocation,TX,,Pending Change,12, $ 47.89 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10406,Asset Management / Hedge Fund,Finance,USD, $ 612.00 ,254253,1,100Mb,DIA,,,Active,60, $ 645.03 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10492,Cloud Service Provider,Data Center & Cloud Services,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Cloud Service Provider,Data Center & Cloud Services,0,0.073722,55," $ 6,439,380.37 "," $ 6,914,105.95 ",Y
10565,Higher Education,Research & Education,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Higher Education,Research & Education,0,-0.073995,455, $ -   ," $ 124,190,797.98 ",N
10599,Manufacturing,Energy & Manufacturing,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Manufacturing,Energy & Manufacturing,0,0.397113,57," $ 10,907,521.86 "," $ 15,239,044.66 ",Y
10600,Consulting / Other Professional Services,Professional Services,USD," $ 1,274.00 ",262023,1,100Mb,DIA,CA,,Active,24," $ 1,274.38 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10637,Consulting / Other Professional Services,Professional Services,USD," $ 1,288.00 ",233677,7,DS1,Private Line,GA,GA,Active,36, $ 183.51 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10643,Consulting / Other Professional Services,Professional Services,USD, $ 350.00 ,284407,3,5Mb,DIA,CA,,Active,12, $ 200.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10644,K-12 Education,Research & Education,USD, $ 73.00 ,248939,1,N/A,Dark Fiber,MN,,Active,12, $ 436.62 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10698,Real Estate / Construction,Other Enterprise,USD," $ 1,275.00 ",249077,1,N/A,Dark Fiber,MN,,Pending Change,12," $ 1,413.89 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10719,Higher Education,Research & Education,USD," $ 1,312.00 ",013617,8,N/A,Dark Fiber,IN,,Active,120, $ 256.40 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10746,Retail,Other Enterprise,USD, $ 98.00 ,255727,4,10Mb,DIA,TX,TX,Active,1, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10810,Colo/Hosting,Data Center & Cloud Services,USD, $ 51.00 ,267514,1,N/A,Cloud Servers,GA,,Active,1, $ 51.30 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10933,Consulting / Other Professional Services,Professional Services,USD, $ 809.00 ,255039,3,N/A,Colocation,TX,TX,Active,12, $ 534.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11026,Utilities,Energy & Manufacturing,USD, $ 198.00 ,256022,3,N/A,Colocation,TX,TX,Active,12, $ 818.25 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11074,Internet Content & Software,Media & Content,USD, $ 299.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11130,Internet Content & Software,Media & Content,USD," $ 1,108.00 ",229872,1,50Mb,DIA,TX,,Active,12," $ 1,107.70 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11179,Retail,Other Enterprise,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Retail,Other Enterprise,0,0,0, $ -   ," $ 273,104.63 ",Y
11243,Consulting / Other Professional Services,Professional Services,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Consulting / Other Professional Services,Professional Services,0,0,9," $ 801,637.15 "," $ 801,637.15 ",Y
11252,Commercial Systems Integrator,Professional Services,USD, $ 406.00 ,270363,2,N/A,Colocation,TX,,Pending Change,12, $ 303.87 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11253,Commercial Systems Integrator,Professional Services,USD, $ 410.00 ,242555,3,DS0,Interconnect,TX,TX,Disconnected,12, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11388,Internet Content & Software,Media & Content,USD, $ 892.00 ,247124,1,100Mb,DIA,TN,,Active,36, $ 917.06 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
