Name/ID,Vertical,Industry,Total BRR Currency,Total BRR,Service Name,Number of Services,Bandwidth,Product,State A,State Z,Service Status,Term,Total MRR,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness
10015,Internet Content & Software,Media & Content,USD,1020,275926,1,100Mb,DIA,MD,,Pending Change,12,1102.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10034,Consulting / Other Professional Services,Professional Services,USD,2116,286958,3,FE (Cat5),Interconnect,CA,CA,Active,24,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10168,VOIP/VSP,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,3,197123.89,197123.89,Y
10255,Internet Content & Software,Media & Content,USD,1266,214253,4,N/A,Colocation,NV,,Active,12,1178.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10263,Internet Content & Software,Media & Content,USD,301,237031,1,3Mb,DIA,MD,,Active,36,300.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10301,Media,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,70,$ -,1092843.01,Y
10316,Consulting / Other Professional Services,Professional Services,USD,605,256009,3,,Colocation,TX,TX,Active,12,499,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10329,Real Estate / Construction,Other Enterprise,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.157143,0.322514,70,15635647.41,20678366.92,N
10376,Media,Media & Content,USD,50,272104,2,N/A,Colocation,TX,,Pending Change,12,47.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10406,Asset Management / Hedge Fund,Finance,USD,612,254253,1,100Mb,DIA,,,Active,60,645.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10492,Cloud Service Provider,Data Center & Cloud Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.073722,55,6439380.37,6914105.95,Y
10565,Higher Education,Research & Education,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-0.073995,455,$ -,124190798,N
10599,Manufacturing,Energy & Manufacturing,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.397113,57,10907521.86,15239044.66,Y
10600,Consulting / Other Professional Services,Professional Services,USD,1274,262023,1,100Mb,DIA,CA,,Active,24,1274.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10637,Consulting / Other Professional Services,Professional Services,USD,1288,233677,7,DS1,Private Line,GA,GA,Active,36,183.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10643,Consulting / Other Professional Services,Professional Services,USD,350,284407,3,5Mb,DIA,CA,,Active,12,200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10644,K-12 Education,Research & Education,USD,73,248939,1,N/A,Dark Fiber,MN,,Active,12,436.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10698,Real Estate / Construction,Other Enterprise,USD,1275,249077,1,N/A,Dark Fiber,MN,,Pending Change,12,1413.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10719,Higher Education,Research & Education,USD,1312,13617,8,N/A,Dark Fiber,IN,,Active,120,256.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10746,Retail,Other Enterprise,USD,98,255727,4,10Mb,DIA,TX,TX,Active,1,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10810,Colo/Hosting,Data Center & Cloud Services,USD,51,267514,1,N/A,Cloud Servers,GA,,Active,1,51.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10933,Consulting / Other Professional Services,Professional Services,USD,809,255039,3,N/A,Colocation,TX,TX,Active,12,534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11026,Utilities,Energy & Manufacturing,USD,198,256022,3,N/A,Colocation,TX,TX,Active,12,818.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11074,Internet Content & Software,Media & Content,USD,299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11130,Internet Content & Software,Media & Content,USD,1108,229872,1,50Mb,DIA,TX,,Active,12,1107.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11179,Retail,Other Enterprise,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,273104.63,Y
11243,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,9,801637.15,801637.15,Y
11252,Commercial Systems Integrator,Professional Services,USD,406,270363,2,N/A,Colocation,TX,,Pending Change,12,303.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11253,Commercial Systems Integrator,Professional Services,USD,410,242555,3,DS0,Interconnect,TX,TX,Disconnected,12,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11388,Internet Content & Software,Media & Content,USD,892,247124,1,100Mb,DIA,TN,,Active,36,917.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11410,Finance,Finance,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,2,102504.42,102504.42,Y
11479,Regional Carrier/ISP,Telecommunications,USD,1290,280415,1,200Mb,DIA,KS,,Active,24,1331.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11506,Consulting / Other Professional Services,Professional Services,USD,1034,254929,2,,Colocation,TX,TX,Active,1,534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11541,Internet Content & Software,Media & Content,USD,135,269724,2,100Mb,DIA,TX,,Active,36,126.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11573,Non-Healthcare Insurance,Other Enterprise,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,44,9199114.82,9199114.82,Y
11619,Real Estate / Construction,Other Enterprise,USD,795,237007,1,50Mb,DIA,MD,,Active,12,795.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11634,Colo/Hosting,Data Center & Cloud Services,USD,775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11784,Regional Carrier/ISP,Telecommunications,USD,1020,190000,1,50Mb,DIA,,,Active,36,1019.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11850,Oil & Gas,Energy & Manufacturing,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,50,$ -,38979817.93,N
11919,Legal,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.401205,12,1708407.04,2393827.83,N
11932,Pharmaceuticals,Healthcare,USD,1263,214273,3,N/A,Colocation,NV,,Active,12,1219.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11988,Healthcare,Healthcare,USD,379,254955,2,N/A,Colocation,TX,TX,Active,12,379.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12029,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,265942.47,N
12033,Commercial Systems Integrator,Professional Services,USD,461,246728,2,N/A,Colocation,IL,,Active,12,260.82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12051,Consulting / Other Professional Services,Professional Services,USD,1296,267391,2,N/A,Colocation,GA,,Active,24,907,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12134,Consulting / Other Professional Services,Professional Services,USD,1190,284742,8,6Mb,DIA,,,Pending Change,36,248,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12168,Finance,Finance,USD,1215,190016,1,50Mb,DIA,,,Active,36,1215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12268,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,14,2234070.74,2234070.74,Y
12283,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12311,Finance,Finance,USD,98,254754,2,,Colocation,TX,TX,Active,1,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12339,Finance,Finance,USD,1020,284851,3,35Mb,DIA,,,Active,36,269.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12348,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.694458,52,7227875.93,12247329.56,Y
12357,K-12 Education,Research & Education,USD,275,280450,1,3Mb,DIA,,,Active,60,275,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12416,Consulting / Other Professional Services,Professional Services,USD,153,255611,4,,Colocation,TX,TX,Pending Disconnect,1,49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12427,Manufacturing,Energy & Manufacturing,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,$ -,N
12451,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,4,381106.19,381106.19,Y
12620,Systems Integrators,Government,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.25,7.52236,8,1169601.74,9967766.57,N
12755,Consulting / Other Professional Services,Professional Services,USD,296,243072,1,10Mb,DIA,MD,,Active,36,295.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12764,Internet Content & Software,Media & Content,USD,1208,221673,2,100Mb,DIA,CA,,Active,12,604.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12813,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.015873,4,827920.33,841061.93,Y
12868,Consulting / Other Professional Services,Professional Services,USD,52,256195,2,,Colocation,TX,TX,Active,1,52.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12870,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,$ -,0
12892,Consulting / Other Professional Services,Professional Services,USD,399,255705,2,100Mb,DIA,TX,TX,Active,1,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12918,Finance,Finance,USD,230,258777,2,N/A,Colocation,TX,,Active,24,128.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13090,Real Estate / Construction,Other Enterprise,USD,530,237002,1,50Mb,DIA,MD,,Active,48,530.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13149,Manufacturing,Energy & Manufacturing,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.030303,4,433672.56,446814.15,Y
13201,Engineering,Professional Services,USD,1423,257176,3,,Colocation,TX,TX,Active,37,1255,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13210,Consulting / Other Professional Services,Professional Services,USD,714,251815,1,100Mb,DIA,VA,,Active,24,838.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13222,Finance,Finance,USD,714,249036,1,10Mb,DIA,DC,,Active,48,738.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13226,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,17,1708407.04,1708407.04,Y
13344,Consulting / Other Professional Services,Professional Services,USD,402,230675,1,100Mb,DIA,VA,,Active,12,401.69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13399,Real Estate / Construction,Other Enterprise,USD,1100,285842,2,FE (Cat5),Interconnect,IL,IL,Active,36,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13423,Finance,Finance,USD,406,267266,2,100Mb,DIA,TX,,Active,12,101.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
